,product_name,product_index,product_type,median_rates,mean_rates,no_of_rates
0,5.5吋 4G-LTE 智能電話 (4+64GB) X598 (黑色),H0972006_S_196,smartphone,1.5,2.7,10.0
2,超薄 notebook - F7 (6+128GB),H0972006_S_F7,tablet,3.5,3.1,17.0
3,4G-LTE 智能手機 - GALAXY S4 (黑色),H0972006_S_325,smartphone,2.5,2.9,17.0
5,"iPhone SE - 64GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_iSE_G_64_3A_U,smartphone,5.0,4.57,7.0
6,"(11.6"", N3060,4GB RAM,32GB eMMC) XE500C13-K01HK Chrome OS 筆記簿型電腦",H0762001_S_XE500C13-K03US-800160302,laptop,5.0,4.86,7.0
13,ELUGA C 全螢幕三邊超窄邊框5.5吋智能手機 (一年保養)(水波藍),H0972006_S_ELUGA_C_BLUE,smartphone,3.0,3.0,5.0
14,8110 4G雙卡雙待手機（黑色）（平行進口）,H5912001_S_Na0007_bk,smartphone,5.0,3.4,5.0
15,A800 長者平安折合式手機/特大鈴聲字體/原裝行貨一年保養/黑色,H5683001_S_P1399,smartphone,5.0,3.4,5.0
16,智能手機 - A1000 (黑色),H0972006_S_Lenovo_A1000,smartphone,4.0,3.5,4.0
18,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,H5912001_S_T0044_bk,tablet,3.5,3.25,4.0
19,3G 智能手機 - A396 (粉紅色),H0972006_S_320,smartphone,1.0,2.0,3.0
22,MOTO E4 PLUS（金色）(香港行貨),H5912001_S_MO0006_gd,smartphone,4.0,3.33,3.0
24,"iPhone 7 - 128GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_3A_U,smartphone,5.0,4.33,3.0
25,P30 Lite 6GB+128GB 藍色 香港行貨,H6588001_S_Huawei_P30Lite_Blue,smartphone,5.0,5.0,3.0
28,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,laptop,5.0,5.0,2.0
29,Y9 2019 4GB+64GB 紫色 香港行貨,H6588001_S_Huawei_Y9_2019_Purple,smartphone,5.0,5.0,2.0
30,A812 長者平安折合式手機/特大鈴聲字體/原裝行貨/黑色,H5683001_S_P1518,smartphone,2.0,2.0,2.0
32,Galaxy S10+ 8GB+128GB 幻鑽白色 香港行貨,H6588001_S_Samsung_S10P_128_White,smartphone,5.0,5.0,2.0
33,GALAXY NOTE 8 DUAL 64GB N950FD（藍色）（平行進口）,H5912001_S_SAM0030_be,smartphone,4.0,4.0,2.0
35,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 128GB SSD, 1TB HDD, Win 10) SF314-56-52YM",H0762001_S_Acer-SF314-56-52YM-007160309,laptop,5.0,5.0,2.0
36,"STREAM 11-ah113TU 11.6"" 4NT27PA#AB5 Infinity Purple",H0661001_S_NBOHPA-HPSTREAM11-ah113TU,laptop,3.0,3.0,2.0
38,"Tab A 8"" 2019 2GB+32GB Wi-Fi 平板電腦 T290 銀色 香港行貨",H6588001_S_Samsung_TabA_8_2019_WiFi,tablet,5.0,5.0,2.0
39,P30 Lite 6GB+128GB 白色 香港行貨,H6588001_S_Huawei_P30Lite_White,smartphone,5.0,5.0,2.0
42,Z8，八核芯，全高清，4G雙卡雙待，一年保養！,H0778001_S_Z8,smartphone,2.5,2.5,2.0
44,M5 Pro Wi-Fi 4GB+64GB 平板電腦 金色 香港行貨,H6588001_S_Huawei_M5Pro_Gold,tablet,5.0,5.0,2.0
45,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),H0972006_S_zenfone_6,smartphone,4.5,4.5,2.0
46,"iPhone 7 - 128GB, 二手9成9新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_1_U,smartphone,4.0,4.0,2.0
47,A3 4G LTE 5046I智能電話 (白)- Alcatel,H0775001_S_AL04,smartphone,1.0,1.0,2.0
48,Caterpillar CAT B30 香港行貨一年保養,H5982001_S_catb30,smartphone,3.0,3.0,2.0
50,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,laptop,5.0,5.0,2.0
53,"iPhone 6 - 16GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i6_W_16_3A_U,smartphone,5.0,5.0,1.0
54,iQOO 8GB+128GB 藍色 平行進口 中國版,H6588001_S_Vivo_iQOO_8_128_Blue,smartphone,5.0,5.0,1.0
55,OnePlus 6 8GB+128GB 白色 平行進口 中國版,H6588001_S_OP6_8_128_White,smartphone,5.0,5.0,1.0
56,BlackBerry Key 2 LE 64GB Black 香港行貨一年保養,H5982001_S_blackberrykey2le64gbblk,smartphone,5.0,5.0,1.0
57,HONOR 10 AI 雙鏡頭拍攝手機 (128GB) (原裝行貨) (幻夜黑),H0972006_S_Honor_10_Black,smartphone,5.0,5.0,1.0
60,iPhone XS 512GB-金（香港行貨）,H5912001_S_AP0023-gd,smartphone,5.0,5.0,1.0
62,OnePlus 7 8GB+256GB 珐琅红色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Red,smartphone,5.0,5.0,1.0
64,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,H0661001_S_NBOHPA-14-ce1031TX,laptop,4.0,4.0,1.0
65,Nova 4 8GB+128GB 藍色 香港行貨,H6588001_S_Nova_4_Blue,smartphone,5.0,5.0,1.0
67,OnePlus 6t 8GB+128GB  亮瓷黑色 平行進口 中國版,H6588001_S_OP6t_8_128MirBlk,smartphone,5.0,5.0,1.0
70,IP S530-13IWL (81J7001LHH)手提筆記型電腦,S1076001_S_193268289345,laptop,5.0,5.0,1.0
71,8110 4G LTE 雙卡雙核2MP 手提智能電話 - 黑色（平行進貨）,H5393001_S_1001277,smartphone,1.0,1.0,1.0
72,EKTRA（香港行貨）,H5912001_S_EK0001,smartphone,5.0,5.0,1.0
73,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,H0762001_S_NS13A1HK087P-140160099,laptop,4.0,4.0,1.0
76,Galaxy A70 6GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_6_Black,smartphone,5.0,5.0,1.0
77,OnePlus 7 8GB+256GB 曜岩灰色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Black,smartphone,5.0,5.0,1.0
79,X1，Qualcomm四核，Sony鏡頭，一年保養！,H0778001_S_X1_BK,smartphone,4.0,4.0,1.0
80,Y7 Pro 2019 3GB+32GB 幻夜黑色 香港行貨,H6588001_S_Huawei_Y7_Pro_2019_Black,smartphone,5.0,5.0,1.0
82,"E558K503B 日本制造15.6""全高清 手提電腦 i5-8250U 8GB 256GB SSD WIN10 Home",H0800001_S_E558K503B,laptop,3.0,3.0,1.0
83,T8 128GB（藍色）（香港行貨）,H5912001_S_ME0001_be,smartphone,1.0,1.0,1.0
84,ZenFone 4 Selfie (ZD553KL)(黑)  [平行進口],H0775001_S_ZF4SELBLK,smartphone,1.0,1.0,1.0
85,U12+ 6GB+128GB 黑色 香港行貨,H6588001_S_HTC_U12P_Black,smartphone,5.0,5.0,1.0
86,938SP 10寸通話平板電腦,H5683002_S_P2224,tablet,5.0,5.0,1.0
87,紅米 Note 7 4GB+64GB 亮黑色（平行進口）,H5300001_S_AXMM1901F7E4-64GBBK,smartphone,5.0,5.0,1.0
88,Galaxy S10+ 8GB+512GB 陶瓷白色 香港行貨,H6588001_S_Samsung_S10P_512_White,smartphone,5.0,5.0,1.0
89,香港行貨(珊瑚橙色)GALAXY A20 A205 3GB RAM 32GB ROM,H7007001_S_SAMA205H01OG01,smartphone,4.0,4.0,1.0
91,紅米 6 金色 4G 64G Rom (香港行貨，小米1年保養),H0610012_S_241-75-A00061-1,smartphone,5.0,5.0,1.0
92,Galaxy A70 8GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_8_Black,smartphone,5.0,5.0,1.0
93,Caterpillar CAT S41 香港行貨一年保養,H5982001_S_cats41,smartphone,5.0,5.0,1.0
94,NEX 雙屏版 10+128GB-藍（香港行貨）,H5912001_S_VI0011,smartphone,5.0,5.0,1.0
95,2720 Flip 4G 功能手機 黑色 香港行貨,H6588001_S_Nokia_2720Flip_Black,smartphone,5.0,5.0,1.0
96,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K02HK",H0762001_S_NP530XBB-K02HK-800160053,laptop,5.0,5.0,1.0
97,LENOVO IP S530-13IWL 手提筆記型電腦,S1076001_S_193268301191,laptop,5.0,5.0,1.0
98,Y7 Pro 2019 3GB+32GB 珊瑚紅 香港行貨,H6588001_S_Huawei_Y7_Pro_2019_Red,smartphone,5.0,5.0,1.0
101,Galaxy S10+ 8GB+128GB 幻鑽黑色 香港行貨,H6588001_S_Samsung_S10P_128_Black,smartphone,5.0,5.0,1.0
103,"ZenFone 3 Max 5.5"" ZC553KL (灰)(平行進口)",H0775001_S_30151GY,smartphone,5.0,5.0,1.0
104,Honor 8A 3GB+32GB 黑色（平行進口）,H5300001_S_AHUJAT-AL003-32GBBK,smartphone,1.0,1.0,1.0
106,8110 4G雙卡雙待雙核智能手機電話黃色,H6302001_S_w1000047,smartphone,1.0,1.0,1.0
107,Galaxy S10e 6GB+128GB 幻鑽黑色 香港行貨,H6588001_S_Samsung_S10e_Black,smartphone,5.0,5.0,1.0
108,Galaxy S10 8GB+128GB 幻鑽綠色 香港行貨,H6588001_S_Samsung_S10_128_Green,smartphone,5.0,5.0,1.0
109,"IdeaPad S340-14IWL 14"" IPS FHD i5-8265u 8G 256G+1TB SHARE Win10 Home",H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,laptop,5.0,5.0,1.0
111,"iPhone 7 - 32GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i7_R_32_3A_U,smartphone,4.0,4.0,1.0
113,V15 Pro  6+128GB-藍（香港行貨）,H5912001_S_VI0012-be,smartphone,5.0,5.0,1.0
114,5.7吋全屏智能手機 K320t (黑色),H0972006_S_000163,smartphone,1.0,1.0,1.0
115,ONE PLUS 7 Pro 8+256GB-黑（平行進口）,H5912001_S_OP0010,smartphone,4.0,4.0,1.0
116,V15 Pro 6GB+128GB 水晶藍色 香港行貨,H6588001_S_Vivo_V15Pro_Blue,smartphone,5.0,5.0,1.0
117,V40 ThinQ 6GB+128GB 鉑鋼灰（平行進口）,H5300001_S_ALGV405EBW6-128GBNPGY,smartphone,5.0,5.0,1.0
118,P30 8GB+128GB 黑色 香港行貨,H6588001_S_Huawei_P30_Black,smartphone,5.0,5.0,1.0
119,Q6+ M700DSN Black 64GB-紫（香港行貨）,H5912001_S_LG0011-pr,smartphone,1.0,1.0,1.0
120,M5 Lite 8 LTE 3GB+32GB 平板電腦 深空灰色 香港行貨,H6588001_S_Huawei_M5_Lite_8_LTE,tablet,4.0,4.0,1.0
121,OnePlus 7 Pro 8GB+256GB 星霧藍色 平行進口 中國版,H6588001_S_OnePlus_7_8_256_NebulaBlue,smartphone,5.0,5.0,1.0
122,A1 32GB（黑色）（平行進口）,H5912001_S_Xa0015_bk,smartphone,1.0,1.0,1.0
124,iPhone SE A1723 128GB 金色（平行進口）,H5300001_S_AAEIPA1723128GBGD,smartphone,4.0,4.0,1.0
127,安博科技 UPAD PRO 4G（送套）,H6800001_S_BGT0026,tablet,5.0,5.0,1.0
128,Galaxy A70 6GB+128GB 白色 香港行貨,H6588001_S_Samsung_A70_6_White,smartphone,5.0,5.0,1.0
129,U12 Life 暮光紫 (4GB RAM + 64GB ROM),H0775012_S_htcu12ltwp,smartphone,5.0,5.0,1.0
131,紅米 7A 32GB 磨砂黑（平行進口）,H5300001_S_AXMM1903C3EG2-32GBMBK,smartphone,5.0,5.0,1.0
133,Galaxy A40s 6GB/64GB A3050 金色 (水貨),H6588002_S_Samsung_A40s_Gold_CN,smartphone,5.0,5.0,1.0
134,Y95 4GB+64GB 星夜黑 香港行貨,H6588001_S_Vivo_Y95_Black,smartphone,5.0,5.0,1.0
135,Galaxy S10 8GB+128GB 幻鑽白色 香港行貨,H6588001_S_Samsung_S10_128_White,smartphone,5.0,5.0,1.0
136,"iPhone SE - 64GB, 二手9成9新 (100%正常運作)(平行進口)",H6725001_S_iSE_W_64_1_U,smartphone,5.0,5.0,1.0
138,4G-LTE 8吋智能手機 - T8,H0972006_S_T8,smartphone,1.0,1.0,1.0
139,"小米平板 4 8.0"" LTE（一年保養）4+64GB 金色",H5300001_S_FXMM1806D9E464GBGD4,tablet,0.0,0.0,0.0
140,"Galaxy Tab A 10.1 "" WiFi T510 2GB+32GB 黑色（平行進口）",H5300001_S_FSAT510232GBBK,tablet,0.0,0.0,0.0
141,Tab S6 6GB+128GB Wi-Fi 平板電腦 T860 灰色 香港行貨,H6588001_S_Samsung_TabS6_WiFi_128_GY,tablet,0.0,0.0,0.0
142,"Galaxy Tab A 10.1 "" LTE T515 2GB+32GB 黑色（平行進口）",H5300001_S_FSAT5152-32GBBK,tablet,0.0,0.0,0.0
143,Galaxy Tab S5e (LTE) (T725),H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050,tablet,0.0,0.0,0.0
144,MediaPad M5 lite 平板 4+64GB（香港行貨）,H5912001_S_T0046,tablet,0.0,0.0,0.0
145,Galaxy Tab S5e (Wi-Fi),H0762001_S_Galaxy-Tab-S5e-Wifi-T720-800670048,tablet,0.0,0.0,0.0
146,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,H5023002_S_LQJ-00022,tablet,0.0,0.0,0.0
147,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,H5023002_S_LQJ-00022,laptop,0.0,0.0,0.0
148,"Honor Pad 2 8.0"" LTE（一年保養）32GB 金色",H5300001_S_FHUKOB-L0932GBGD4,tablet,0.0,0.0,0.0
149,"Galaxy Tab S5e 10.5"" Wi-Fi T720 4GB+64GB 黑色（平行進口）",H5300001_S_FSAT7204-64GBBK,tablet,0.0,0.0,0.0
150,Tab S5e 6GB+128GB WiFi 銀色 香港行貨,H6588001_S_Samsung_TabS5e_wifi_128GB_Silver,tablet,0.0,0.0,0.0
151,M5 Lite Wi-Fi 4GB+64GB 平板電腦 灰色 香港行貨,H6588001_S_Huawei_M5_Lite_Grey,tablet,0.0,0.0,0.0
152,"Galaxy Tab S5e 10.5"" LTE T725 4GB+64GB 銀色（平行進口）",H5300001_S_FSAT7254-64GBS,tablet,0.0,0.0,0.0
153,"Honor Pad 2 9.6"" LTE 3GB+32GB 金色（平行進口）",H5300001_S_FHUAGS-L0932GBGD4,tablet,0.0,0.0,0.0
154,行貨 最新15.6吋 4K UHD 超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UM 保養一年,S1235001_S_GS70101,tablet,0.0,0.0,0.0
155,Galaxy Tab A 8 with S Pen 3GB+32GB LTE 黑色 香港行貨,H6588001_S_Samsung_TabA_8_SPen_LTE_Black,tablet,0.0,0.0,0.0
156,"小米平板 4 8.0"" Wi-Fi 64GB 黑色（平行進口）",H5300001_S_FXMM1806D9W64GBBK4,tablet,0.0,0.0,0.0
157,"小米平板 4 8.0"" LTE（一年保養）4+64GB 黑色",H5300001_S_FXMM1806D9E464GBBK4,tablet,0.0,0.0,0.0
158,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,H5023001_S_80Y7000NHH,tablet,0.0,0.0,0.0
159,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,H5023001_S_80Y7000NHH,laptop,0.0,0.0,0.0
160,Tab S6 8GB+256GB Wi-Fi 平板電腦 T860 灰色 香港行貨,H6588001_S_Samsung_TabS6_WiFi_256_GY,tablet,0.0,0.0,0.0
161,M5 LTE 4GB+64GB 平板電腦 金色 香港行貨,H6588001_S_Huawei_M5_Gold,tablet,0.0,0.0,0.0
162,"小米平板 4 8.0"" Wi-Fi 64GB 金色（平行進口）",H5300001_S_FXMM1806D9W64GBGD,tablet,0.0,0.0,0.0
163,行貨 最新15.6吋輕觸式 4K UHD超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UT 保養一年,S1235001_S_GS70102,tablet,0.0,0.0,0.0
164,Lenovo TAB4 10 WIFI (TB-X304F) (2G+16G)  (ZA2J0063HK) - 全新機,H5023002_S_ZA2J0063HK,tablet,0.0,0.0,0.0
165,智能平板 P10 (TB-X705F WIFI) 黑色,H0775001_S_TB_X705F,tablet,0.0,0.0,0.0
166,Kamvas Pro 20,H6795001_S_Kamvaspro20,tablet,0.0,0.0,0.0
167,"TAB 4 8"" PLUS LTE 64GB 8704X-白(香港行貨)",H5912001_S_T0033_bk,tablet,0.0,0.0,0.0
168,平板4 8英寸平板電腦WIFI版 4G+64GB（平行進口）,H5912001_S_T0043_bk,tablet,0.0,0.0,0.0
169,智能平板 M10 (TB-X605L LTE) 黑色,H0775001_S_TB_X605L,tablet,0.0,0.0,0.0
170,Alldocube M8 32GB,H5189001_S_Alldocube-M8-32GB,tablet,0.0,0.0,0.0
171,Alldocube M5X 64GB,H5189001_S_Alldocube-M5X-64GB,tablet,0.0,0.0,0.0
172,安博科技 UPAD PRO 4G (台灣版),H6800001_S_BGT0027,tablet,0.0,0.0,0.0
173,"Honor Pad 5 10.1"" LTE (全網通版) 4GB+64GB 藍色（平行進口）",H5300001_S_FHUAGS2-AL00HN4-64GBB,tablet,0.0,0.0,0.0
174,X (64GB) (2.5K Super AMOLED 平板電腦) (原裝行貨),H0972006_S_cube_x_64gb,tablet,0.0,0.0,0.0
175,HS610,H6795001_S_HS610,tablet,0.0,0.0,0.0
176,"LENOVO TB-8504F TAB4 8""HD WIFI 平板電腦-BLACK",S1076001_S_191376165018,tablet,0.0,0.0,0.0
177,INSPIROY Q11K V2,H6795001_S_Q11v2,tablet,0.0,0.0,0.0
178,Tab S4 4GB+64GB LTE 黑色 香港行貨,H6588001_S_Samsung_TabS4_LTE_64GB_Black,tablet,0.0,0.0,0.0
179,LENOVO TAB M10 Qualcomm Snapdragon 平板電腦 SLATE BACK LTE,S1076001_S_192940573567,tablet,0.0,0.0,0.0
180,Lenovo TB-8704X TAB 4 8 Plus LTE (ZA2F0051HK) 平板電腦,S1076001_S_191376403783,tablet,0.0,0.0,0.0
181,RG910 - IP68防水防塵認證 / MIL-STD 810G防摔 / 可戴上手套或濕手操作平板電腦,H0972006_S_RG910,tablet,0.0,0.0,0.0
182,LENOVO TB-X705L TAB P10 LTE 平板電腦 BLACK,S1076001_S_192651498104,tablet,0.0,0.0,0.0
183,Galaxy Tab S4 WiFi 256GB - 黑色,H0762001_S_Tab-S4-Wifi-T830-256GB-BK-800670038,tablet,0.0,0.0,0.0
184,Alldocube X 128GB,H5189001_S_Alldocube-X-128GB,tablet,0.0,0.0,0.0
185,Tab S4 4GB+64GB LTE 灰色 香港行貨,H6588001_S_Samsung_TabS4_LTE_64GB_Gray,tablet,0.0,0.0,0.0
186,Kamvas Pro 22,H6795001_S_kamvaspro22,tablet,0.0,0.0,0.0
187,iPlay10 Pro 10.1英寸大屏娛樂平板電腦2019新款,H0972006_S_iplay10pro,tablet,0.0,0.0,0.0
188,Alldocube iPlay 7T,H5189001_S_Alldocube-iPlay7T,tablet,0.0,0.0,0.0
189,Alldocube iPlay 10 Pro,H5189001_S_Alldocube-iPlay10pro,tablet,0.0,0.0,0.0
190,Galaxy Tab S4 WiFi 64GB - 灰色,H0762001_S_Tab-S4-Wifi-T830-64GB-GY-800670036,tablet,0.0,0.0,0.0
191,"10.2-inch iPad Wi-Fi (2019), 32GB - 大空灰 #HK行貨",G5031001_S_MW742,tablet,0.0,0.0,0.0
192,"10.2-inch iPad Wi-Fi (2019), 128GB - 太空灰 #HK行貨",G5031001_S_MW772,tablet,0.0,0.0,0.0
193,10.2-inch iPad Wi-Fi + Cellular (2019) 128GB - 太空灰 #HK行貨,G5031001_S_MW6E2,tablet,0.0,0.0,0.0
194,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-570G",H0762001_S_Acer-SF515-51T-570G-007160305,laptop,0.0,0.0,0.0
195,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K01HK",H0762001_S_NP530XBB-K01HK-WH,laptop,0.0,0.0,0.0
196,"13-inch MacBook Air, 1.6ghz i5, 128GB (2018), 太空灰 #HK VER.",G5031001_S_MRE82ZP,laptop,0.0,0.0,0.0
197,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, 1TB HDD, MX250, Win 10) SF314-56G-58MJ",H0762001_S_Acer-SF314-56G-58MJ-007160312,laptop,0.0,0.0,0.0
198,"Lenovo i7 ThinkPad T430 14"" i7-3540m / 8G ram / 256 SSD / Window 10 吋手提電腦 [官方翻新品]",H6997001_S_Lenovo_T430,laptop,0.0,0.0,0.0
199,"Swift 5 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF514-53T-505N",H0762001_S_Acer-SF514-53T-505N-007160300,laptop,0.0,0.0,0.0
200,"MacBook Air 13-inch, 1.6GHz dual-core Intel Core i5, 256GB (2018 年), 太空灰 #HK行貨",G5031001_S_APPMBA256_MRE92,laptop,0.0,0.0,0.0
201,LENOVO IP S130-14IGM (81J2001AHH) 手提筆記型電腦,S1076001_S_192940985186,laptop,0.0,0.0,0.0
202,"Lenovo 聯想 ThinkPad T430 i5-3320M CPU 8GB RAM, 320GB HD 手提電腦 notebook computer [官方認證翻新機]",H6997001_S_LENOVO_I5_T430,laptop,0.0,0.0,0.0
203,Pavilion 14-ce1030TX 5MX31PA#AB5- Pale Gold,H0661001_S_NBOHPA-14-ce1030TX,laptop,0.0,0.0,0.0
204,IdeaPad S145 14吋 i5 8G 256 SSD 手提電腦 (81MU00B7HH),H5023002_S_81MU00B7HH,laptop,0.0,0.0,0.0
205,IdeaPad 330s 14吋 8代i7 纖巧幼邊筆記型電腦 (81F4007BHH) - 全新機,H5023002_S_81F4007BHH,laptop,0.0,0.0,0.0
206,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K03HK",H0762001_S_NP530XBB-K03HK-800160054,laptop,0.0,0.0,0.0
207,XPS15-7590-R1740H-S-W10,H6934001_S_XPS15-7590-R1740H-S-W10,laptop,0.0,0.0,0.0
208,LENOVO IDEACENTRE 510S-07ICB (90K800CVHH) 桌上型電腦      ,S1076001_S_31P90K800CVHH,laptop,0.0,0.0,0.0
209,"A315 15.6"" FHD i3-8145u 8G 128G+1TB SHARE Win10 Home",H6603001_S_A315_54_33GC_NXHEFCF001,laptop,0.0,0.0,0.0
210,"LIFEBOOK S937K501 白色 日本制造手提電腦 13.3"" FHD i5 8GB 256GB WIN10 Pro 1.19Kg",H0800001_S_S937K501W,laptop,0.0,0.0,0.0
211,"E558X503B1 日本制造15.6""手提電腦",H0800001_S_E558X503B1,laptop,0.0,0.0,0.0
212,14-ck0110TU 5EF56PA#AB5- Scarlet Red,H0661001_S_NBOHPA-14-ck0110TU,laptop,0.0,0.0,0.0
213,"AVITA 13"" N4200 手提電腦 (丁香紫)",H5899002_S_NS13A1HK089P,laptop,0.0,0.0,0.0
214,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-57PL",H0762001_S_Acer-SF515-51T-57PL-007160304,laptop,0.0,0.0,0.0
