,product_index,product_type,product_brand,product_name,product_price,product_seller,website
0,H6800001_S_BGT0026,tablet,安博科技,安博科技 UPAD PRO 4G（送套）,1480.0,環球貿易,https://www.hktvmall.com/hktv/zh/main/%E7%92%B0%E7%90%83%E8%B2%BF%E6%98%93/s/H6800001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%AE%89%E5%8D%9A%E7%A7%91%E6%8A%80-UPAD-PRO-4G%E9%80%81%E5%A5%97/p/H6800001_S_BGT0026
1,H5300001_S_FSAT510232GBGD,tablet,三星,"Galaxy Tab A 10.1 "" WiFi T510 2GB+32GB 黑色（平行進口）",1799.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-A-101-WiFi-T510-2GB32GB-%E9%87%91%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5300001_S_FSAT510232GBGD
2,H5300001_S_FXMM1806D9E464GBGD4,tablet,小米,"小米平板 4 8.0"" LTE（一年保養）4+64GB 金色",1799.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B0%8F%E7%B1%B3%E5%B9%B3%E6%9D%BF-4-80-LTE%E4%B8%80%E5%B9%B4%E4%BF%9D%E9%A4%8A464GB-%E9%87%91%E8%89%B2/p/H5300001_S_FXMM1806D9E464GBGD4
3,H6588001_S_Samsung_TabS6_WiFi_128_GY,tablet,三星,Tab S6 6GB+128GB Wi-Fi 平板電腦 T860 灰色 香港行貨,4999.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Tab-S6-6GB128GB-WiFi-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-T860-%E7%81%B0%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Samsung_TabS6_WiFi_128_GY
4,H0972006_S_F7,tablet,Teclast,超薄 notebook - F7 (6+128GB),2222.0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E8%B6%85%E8%96%84-notebook-F7-6128GB/p/H0972006_S_F7
5,H5300001_S_FSAT5152-32GBBK,tablet,三星,"Galaxy Tab A 10.1 "" LTE T515 2GB+32GB 黑色（平行進口）",2099.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-A-101-LTE-T515-2GB32GB-%E9%BB%91%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5300001_S_FSAT5152-32GBBK
6,H6588001_S_Huawei_M5_Lite_8_LTE,tablet,Huawei,M5 Lite 8 LTE 3GB+32GB 平板電腦 深空灰色 香港行貨,1599.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/M5-Lite-8-LTE-3GB32GB-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-%E6%B7%B1%E7%A9%BA%E7%81%B0%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Huawei_M5_Lite_8_LTE
7,H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050,tablet,三星,Galaxy Tab S5e (LTE) (T725),4148.0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-S5e-LTE-T725/p/H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050
8,H5912001_S_T0046,tablet,Huawei,MediaPad M5 lite 平板 4+64GB（香港行貨）,2548.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/MediaPad-M5-lite-%E5%B9%B3%E6%9D%BF-464GB%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H5912001_S_T0046
9,H0762001_S_Galaxy-Tab-S5e-Wifi-T720-800670048,tablet,三星,Galaxy Tab S5e (Wi-Fi),3598.0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-S5e-WiFi/p/H0762001_S_Galaxy-Tab-S5e-Wifi-T720-800670048
10,H5023001_S_80U1002HHH,tablet,聯想,Miix 510-12ISK Core i5 2合1 平板電腦 (80U1002HHH)  - 高質陳列品,4099.0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E6%89%8B%E6%8F%90%E9%9B%BB%E8%85%A6/Miix-51012ISK-Core-i5-2%E5%90%881-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-80U1002HHH-%E9%AB%98%E8%B3%AA%E9%99%B3%E5%88%97%E5%93%81/p/H5023001_S_80U1002HHH
11,H5300001_S_FHUKOB-L0932GBGD4,tablet,Huawei,"Honor Pad 2 8.0"" LTE（一年保養）32GB 金色",1399.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Honor-Pad-2-80-LTE%E4%B8%80%E5%B9%B4%E4%BF%9D%E9%A4%8A32GB-%E9%87%91%E8%89%B2/p/H5300001_S_FHUKOB-L0932GBGD4
12,H5023001_S_80U1002HHH_256,tablet,聯想,Miix 510-12ISK Core i5 256 SSD 2合1 平板電腦 (80U1002HHH_256)  - 高質陳列品,4399.0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E6%89%8B%E6%8F%90%E9%9B%BB%E8%85%A6/Miix-51012ISK-Core-i5-256-SSD-2%E5%90%881-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-80U1002HHH256-%E9%AB%98%E8%B3%AA%E9%99%B3%E5%88%97%E5%93%81/p/H5023001_S_80U1002HHH_256
13,H5300001_S_FSAT7204-64GBBK,tablet,三星,"Galaxy Tab S5e 10.5"" Wi-Fi T720 4GB+64GB 黑色（平行進口）",3299.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-S5e-105-WiFi-T720-4GB64GB-%E9%BB%91%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5300001_S_FSAT7204-64GBBK
14,H5023002_S_LQJ-00022,tablet,Microsoft,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,14999.0,Protech-Computer,https://www.hktvmall.com/hktv/zh/main/Protech-Computer/s/H5023002/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E6%89%8B%E6%8F%90%E9%9B%BB%E8%85%A6/Surface-Pro-6-8%E4%BB%A3i7-16G-512-SSD-%E4%BA%8C%E5%90%88%E4%B8%80%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-Windows-10-%E5%B0%88%E6%A5%AD%E7%89%88-LQJ00022-%E9%80%81-%E5%AF%A6%E9%AB%94%E9%8D%B5%E7%9B%A4%E4%BF%9D%E8%AD%B7%E8%93%8B/p/H5023002_S_LQJ-00022
15,H6588001_S_Samsung_TabS5e_wifi_128GB_Silver,tablet,三星,Tab S5e 6GB+128GB WiFi 銀色 香港行貨,3772.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Tab-S5e-6GB128GB-WiFi-%E9%8A%80%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Samsung_TabS5e_wifi_128GB_Silver
16,H6588001_S_Huawei_M5Pro_Gold,tablet,Huawei,M5 Pro Wi-Fi 4GB+64GB 平板電腦 金色 香港行貨,3599.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/M5-Pro-WiFi-4GB64GB-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-%E9%87%91%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Huawei_M5Pro_Gold
17,H5912001_S_T0044_bk,tablet,小米,平板4 8英寸平板電腦LTE版 4G+64GB（黑色）（平行進口）,1888.0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF4-8%E8%8B%B1%E5%AF%B8%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6LTE%E7%89%88-4G64GB%E9%BB%91%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5912001_S_T0044_bk
18,H6588001_S_Huawei_M5_Lite_Grey,tablet,Huawei,M5 Lite Wi-Fi 4GB+64GB 平板電腦 灰色 香港行貨,2449.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/M5-Lite-WiFi-4GB64GB-%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6-%E7%81%B0%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Huawei_M5_Lite_Grey
19,H0710001_S_STM-222-200JW-01,tablet,STM,iPad 6th Dux Plus Duo (Pencil 或 Crayon 儲存槽) BLACK  STM-222-200JW-01,468.0,DISTEXPRESS,https://www.hktvmall.com/hktv/zh/main/DISTEXPRESS/s/H0710001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E6%89%8B%E6%A9%9F%E5%91%A8%E9%82%8A%E9%85%8D%E4%BB%B6/%E5%85%B6%E4%BB%96%E6%89%8B%E6%8F%90%E9%9B%BB%E8%A9%B1%E9%85%8D%E4%BB%B6/Apple/iPad-6th-Dux-Plus-Duo-Pencil-%E6%88%96-Crayon-%E5%84%B2%E5%AD%98%E6%A7%BD-BLACK-STM222200JW01/p/H0710001_S_STM-222-200JW-01
20,H5683002_S_P2224,tablet,日本ASK,938SP 10寸通話平板電腦,1280.0,天時科電商,https://www.hktvmall.com/hktv/zh/main/%E5%A4%A9%E6%99%82%E7%A7%91%E9%9B%BB%E5%95%86/s/H5683002/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/938SP-10%E5%AF%B8%E9%80%9A%E8%A9%B1%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/p/H5683002_S_P2224
21,H5023001_S_80QL008RHH_M7,tablet,聯想,Miix 700 12吋 2合1平板電腦配備 2K FHD+ IPS 觸屏及240G SSD閃存 (80QL008RHH_M7) - 高質陳列品,4999.0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E6%89%8B%E6%8F%90%E9%9B%BB%E8%85%A6/Miix-700-12%E5%90%8B-2%E5%90%881%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E9%85%8D%E5%82%99-2K-FHD-IPS-%E8%A7%B8%E5%B1%8F%E5%8F%8A240G-SSD%E9%96%83%E5%AD%98-80QL008RHHM7-%E9%AB%98%E8%B3%AA%E9%99%B3%E5%88%97%E5%93%81/p/H5023001_S_80QL008RHH_M7
22,H5300001_S_FHUAGS-L0932GBGD4,tablet,Huawei,"Honor Pad 2 9.6"" LTE 3GB+32GB 金色（平行進口）",1499.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Honor-Pad-2-96-LTE-3GB32GB-%E9%87%91%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5300001_S_FHUAGS-L0932GBGD4
23,H5300001_S_FSAT7254-64GBS,tablet,三星,"Galaxy Tab S5e 10.5"" LTE T725 4GB+64GB 銀色（平行進口）",3799.0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-S5e-105-LTE-T725-4GB64GB-%E9%8A%80%E8%89%B2%E5%B9%B3%E8%A1%8C%E9%80%B2%E5%8F%A3/p/H5300001_S_FSAT7254-64GBS
24,S1235001_S_GS70101,tablet,G-Story,行貨 最新15.6吋 4K UHD 超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UM 保養一年,2765.0,Beauty-Balance-International-Group-Limited,https://www.hktvmall.com/hktv/zh/main/Beauty-Balance-International-Group-Limited/s/S1235001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E9%A1%AF%E7%A4%BA%E5%99%A8/19%E5%90%8B%E4%BB%A5%E4%B8%8B%E9%A1%AF%E7%A4%BA%E5%99%A8/%E8%A1%8C%E8%B2%A8-%E6%9C%80%E6%96%B0156%E5%90%8B-4K-UHD-%E8%B6%85%E9%AB%98%E6%B8%85%E7%AA%84%E9%82%8A%E6%A1%86%E5%8F%AF%E6%94%9C%E5%BC%8F-USB31-TypeC-%E4%B8%80%E7%B7%9A%E9%80%9A-%E4%BE%9B%E9%9B%BB%E8%9E%A2%E5%B9%95-GS156UM-%E4%BF%9D%E9%A4%8A%E4%B8%80%E5%B9%B4/p/S1235001_S_GS70101
25,H6588001_S_Samsung_TabA_8_SPen_LTE_Black,tablet,三星,Galaxy Tab A 8 with S Pen 3GB+32GB LTE 黑色 香港行貨,2399.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Galaxy-Tab-A-8-with-S-Pen-3GB32GB-LTE-%E9%BB%91%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Samsung_TabA_8_SPen_LTE_Black
26,H6623001_S_GT1005_P,tablet,Global Trend,"12"" 液晶電子手寫板可局部擦寫",178.0,JACKMAX-INDUSTRIES,https://www.hktvmall.com/hktv/zh/main/JACKMAX-INDUSTRIES/s/H6623001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E8%85%A6%E5%8F%8A%E9%80%B1%E9%82%8A%E8%A8%AD%E5%82%99/%E5%91%A8%E9%82%8A%E8%A8%AD%E5%82%99/%E7%B9%AA%E5%9C%96%E6%9D%BF-%E6%89%8B%E5%AF%AB%E6%9D%BF/12-%E6%B6%B2%E6%99%B6%E9%9B%BB%E5%AD%90%E6%89%8B%E5%AF%AB%E6%9D%BF%E5%8F%AF%E5%B1%80%E9%83%A8%E6%93%A6%E5%AF%AB/p/H6623001_S_GT1005_P
27,H6588001_S_Samsung_TabA2018_WIFI_32GB_Gray,tablet,三星,"Tab A 10.5"" 3GB+32GB WiFi 灰色 香港行貨",2499.0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/%E8%BC%9D%E7%85%8C%E6%95%B8%E7%A2%BC%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/s/H6588001/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E9%9B%BB%E5%AD%90%E9%9B%BB%E5%99%A8/%E6%89%8B%E6%A9%9F%E5%8F%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6/Tab-A-105-3GB32GB-WiFi-%E7%81%B0%E8%89%B2-%E9%A6%99%E6%B8%AF%E8%A1%8C%E8%B2%A8/p/H6588001_S_Samsung_TabA2018_WIFI_32GB_Gray
